No.,単語,漢字表記,品詞,英訳,課数
35,あちら,,n.,that way (polite),会L20
46,アニメ,,n.,animation,会L20
77,あんなに,,adv.,so; such,読L20-II
100,いたす,致す,u-v.,extra-modest expression for する,会L20
102,いただく,頂く,u-v.,extra-modest expression for たべる and のむ,会L20
103,いただく,頂く,u-v.,humble expression for もらう,会L20
121,いっかい,一階,n.,first floor,会L20
132,いなか,,n.,countryside,読L20-II
153,うかがう,伺う,u-v.,to humbly visit; to humbly ask,会L20
162,うちゅうじん,宇宙人,n.,space alien,会L20
175,うれる,売れる,ru-v.,to be sold ,読L20-II
190,えさ,,n.,feed,読L20-II
193,えど,江戸,n.,former name of Tokyo,読L20-II
194,えどじだい,江戸時代,n.,Edo period (1603－1868),読L20-II
249,おたく,お宅,n.,(someone’s) home/house,会L20
257,おと,音,n.,sound,会L20
272,おにぎり,,n.,rice ball,会L20
292,おもい,重い,い-adj.,heavy; serious (illness),会L20
308,おる,,u-v.,extra-modest expression for いる,会L20
321,～かい,～階,suf.,. . . th floor,会L20
340,かかりのもの,係の者,n.,our person in charge,会L20
360,かしこまりました,,exp.,Certainly.,会L20
375,がっかりする,,irr-v.,to be disappointed ,"読L20-II, 会L23"
416,かるい,軽い,い-adj.,light,会L20
447,きこえる,聞こえる,ru-v.,to be audible ,会L20
571,こうかんする,交換する,irr-v.,to exchange ,会L20
594,こころ,心,n.,mind; heart,読L20-II
595,ござる,,u-v.,extra-modest expression for ある,会L20
667,さしあげる,差し上げる,ru-v.,humble expression for あげる ,会L20
701,じ,字,n.,letter; character,会L20
732,しつれいしました,失礼しました,exp.,I’m very sorry.,会L20
735,してん,支店,n.,branch office,会L20
800,しゅみ,趣味,n.,hobby; pastime,会L20
812,しょうせつ,小説,n.,novel,会L20
869,スニーカー,,n.,sneakers,会L20
878,する,,irr-v.,to cost ,読L20-II
886,せいかつする,生活する,irr-v.,to lead a life ,会L20
904,ぜったいに,絶対に,adv.,definitely; no matter what,"読L20-II, 会L22"
915,せんす,扇子,n.,(hand) fan,会L20
927,そうだ！,,exp.,I have an idea!,読L20-II
980,だく,抱く,u-v.,to hold something in one’s arm,読L20-II
1010,だます,,u-v.,to deceive,読L20-II
1042,ちゃみせ,茶店,n.,teahouse,読L20-II
1065,つき,月,n.,moon,会L20
1076,つたえる,伝える,ru-v.,to convey message ,会L20
1078,つづける,続ける,ru-v.,to continue ,会L20
1094,～ておる,,u-v.,extra-modest expression for ～ている,会L20
1099,できれば,,adv.,if possible,会L20
1101,～でござる,,u-v.,extra-modest expression for です,会L20
1109,では,,adv.,well then (polite),会L20
1137,ドイツ,,n.,Germany,会L20
1148,どうぶつ,動物,n.,animal,会L20
1184,とまる,止まる,u-v.,to stop,読L20-II
1242,にこにこする,,irr-v.,to smile ,読L20-II
1273,ねだん,値段,n.,price,読L20-II
1389,ひっかく,,u-v.,to scratch,読L20-II
1425,ふしぎ（な）,不思議,な-adj.,mysterious,会L20
1468,ヘッドホン,,n.,headphones,会L20
1479,へんぴんする,返品する,irr-v.,to return (merchandise) ,会L20
1522,まいる,参る,u-v.,extra-modest expression for いく and くる,会L20
1527,まことに,誠に,adv.,really (very polite),会L20
1531,また,,adv.,again,会L20
1535,またせる,待たせる,ru-v.,to keep (someone) waiting ,会L20
1568,～みたいなX,,suf.,X like . . . ,会L20
1581,みぶり,身ぶり,n.,gesture,読L20-II
1627,もうす,申す,u-v.,extra-modest expression for いう,会L20
1651,～や,～屋,suf.,. . . shop,会L20
1666,やった！,,exp.,I did it!,読L20-II
1713,よろしかったら,,adv.,if it is okay (polite),会L20
1723,らくご,落語,n.,comic monologue,読L20-II
1724,らくごか,落語家,n.,comic storyteller,読L20-II
1730,りょう,両,n.,a unit of currency used in the Edo period,読L20-II
1768,わたす,渡す,u-v.,to give; to hand,読L20-II
